k,interClusterDensity
3,0.4207507824350985
7,0.8028672741321977
12,0.8977907532910239
17,0.9239209962093623
22,0.9472046322704301
27,0.9379613557656228
32,0.9500477076753046
37,0.9449009646860097
42,0.9403610321509692
47,0.9619724952742621
52,0.962738143739084
57,0.9614920601186213
62,0.9649460396894385
67,0.9592812870264896
72,0.9636423442307475
77,0.9625324585768369
82,0.9646430562278691
87,0.9637173708967551
92,0.9637173708967551
97,0.9637173708967551
102,0.9637173708967551
